structure,operation,input,size,time_ns
Sorting,TreapSort,random,100,1418042
Sorting,PQSort,random,100,365575
Sorting,QuickSort,random,100,395504
Sorting,MergeSort,random,100,504804
Sorting,JavaSort,random,100,166929
Sorting,TreapSort,sorted,100,219620
Sorting,PQSort,sorted,100,61429
Sorting,QuickSort,sorted,100,252763
Sorting,MergeSort,sorted,100,46384
Sorting,JavaSort,sorted,100,10872
Sorting,TreapSort,reverse,100,93226
Sorting,PQSort,reverse,100,51829
Sorting,QuickSort,reverse,100,200919
Sorting,MergeSort,reverse,100,73870
Sorting,JavaSort,reverse,100,14057
Sorting,TreapSort,partial,100,88697
Sorting,PQSort,partial,100,65351
Sorting,QuickSort,partial,100,75736
Sorting,MergeSort,partial,100,82715
Sorting,JavaSort,partial,100,96283
Sorting,TreapSort,random,250,220607
Sorting,PQSort,random,250,111753
Sorting,QuickSort,random,250,63556
Sorting,MergeSort,random,250,134534
Sorting,JavaSort,random,250,216775
Sorting,TreapSort,sorted,250,154229
Sorting,PQSort,sorted,250,139353
Sorting,QuickSort,sorted,250,1928829
Sorting,MergeSort,sorted,250,189194
Sorting,JavaSort,sorted,250,21856
Sorting,TreapSort,reverse,250,119747
Sorting,PQSort,reverse,250,104081
Sorting,QuickSort,reverse,250,2425581
Sorting,MergeSort,reverse,250,110813
Sorting,JavaSort,reverse,250,16187
Sorting,TreapSort,partial,250,78922
Sorting,PQSort,partial,250,50129
Sorting,QuickSort,partial,250,449062
Sorting,MergeSort,partial,250,199883
Sorting,JavaSort,partial,250,173002
Sorting,TreapSort,random,500,351916
Sorting,PQSort,random,500,171255
Sorting,QuickSort,random,500,518003
Sorting,MergeSort,random,500,445054
Sorting,JavaSort,random,500,339157
Sorting,TreapSort,sorted,500,312136
Sorting,PQSort,sorted,500,130698
Sorting,QuickSort,sorted,500,9110591
Sorting,MergeSort,sorted,500,446608
Sorting,JavaSort,sorted,500,21002
Sorting,TreapSort,reverse,500,133735
Sorting,PQSort,reverse,500,78759
Sorting,QuickSort,reverse,500,7016068
Sorting,MergeSort,reverse,500,378458
Sorting,JavaSort,reverse,500,38664
Sorting,TreapSort,partial,500,271185
Sorting,PQSort,partial,500,142209
Sorting,QuickSort,partial,500,80809
Sorting,MergeSort,partial,500,510985
Sorting,JavaSort,partial,500,133461
Sorting,TreapSort,random,750,276673
Sorting,PQSort,random,750,170558
Sorting,QuickSort,random,750,71147
Sorting,MergeSort,random,750,589298
Sorting,JavaSort,random,750,285021
Sorting,TreapSort,sorted,750,197637
Sorting,PQSort,sorted,750,138653
Sorting,QuickSort,sorted,750,1872832
Sorting,MergeSort,sorted,750,616689
Sorting,JavaSort,sorted,750,27044
Sorting,TreapSort,reverse,750,164056
Sorting,PQSort,reverse,750,175208
Sorting,QuickSort,reverse,750,1465514
Sorting,MergeSort,reverse,750,749803
Sorting,JavaSort,reverse,750,26949
Sorting,TreapSort,partial,750,183140
Sorting,PQSort,partial,750,144830
Sorting,QuickSort,partial,750,123116
Sorting,MergeSort,partial,750,553762
Sorting,JavaSort,partial,750,116045
Sorting,TreapSort,random,1000,276268
Sorting,PQSort,random,1000,189464
Sorting,QuickSort,random,1000,113188
Sorting,MergeSort,random,1000,999113
Sorting,JavaSort,random,1000,230003
Sorting,TreapSort,sorted,1000,259849
Sorting,PQSort,sorted,1000,287128
Sorting,QuickSort,sorted,1000,3768549
Sorting,MergeSort,sorted,1000,788699
Sorting,JavaSort,sorted,1000,19014
Sorting,TreapSort,reverse,1000,168510
Sorting,PQSort,reverse,1000,154491
Sorting,QuickSort,reverse,1000,2380418
Sorting,MergeSort,reverse,1000,509468
Sorting,JavaSort,reverse,1000,25217
Sorting,TreapSort,partial,1000,293134
Sorting,PQSort,partial,1000,187305
Sorting,QuickSort,partial,1000,138301
Sorting,MergeSort,partial,1000,642525
Sorting,JavaSort,partial,1000,134949
Sorting,TreapSort,random,2500,733259
Sorting,PQSort,random,2500,390843
Sorting,QuickSort,random,2500,291332
Sorting,MergeSort,random,2500,1754455
Sorting,JavaSort,random,2500,909837
Sorting,TreapSort,sorted,2500,328633
Sorting,PQSort,sorted,2500,308331
Sorting,QuickSort,sorted,2500,18434747
Sorting,MergeSort,sorted,2500,1738830
Sorting,JavaSort,sorted,2500,57623
Sorting,TreapSort,reverse,2500,356990
Sorting,PQSort,reverse,2500,368242
Sorting,QuickSort,reverse,2500,12389224
