structure,operation,input,size,time_ns
Treap,insert,random,1,1105903
Treap,search_hit,random,1,8410
Treap,search_miss,random,1,8330
Treap,remove,random,1,5156
AVL,insert,random,1,746971
AVL,search_hit,random,1,2889
AVL,search_miss,random,1,2086
AVL,remove,random,1,3959
TreeMap,insert,random,1,30478
TreeMap,search_hit,random,1,3781
TreeMap,search_miss,random,1,1413
TreeMap,remove,random,1,2380
Treap,insert,sorted,1,4844
Treap,search_hit,sorted,1,2372
Treap,search_miss,sorted,1,2074
Treap,remove,sorted,1,1681
AVL,insert,sorted,1,1899
AVL,search_hit,sorted,1,968
AVL,search_miss,sorted,1,1192
AVL,remove,sorted,1,1169
TreeMap,insert,sorted,1,1643
TreeMap,search_hit,sorted,1,1225
TreeMap,search_miss,sorted,1,1256
TreeMap,remove,sorted,1,1062
Treap,insert,reverse,1,3713
Treap,search_hit,reverse,1,1292
Treap,search_miss,reverse,1,2582
Treap,remove,reverse,1,1550
AVL,insert,reverse,1,1854
AVL,search_hit,reverse,1,910
AVL,search_miss,reverse,1,1152
AVL,remove,reverse,1,1161
TreeMap,insert,reverse,1,2166
TreeMap,search_hit,reverse,1,962
TreeMap,search_miss,reverse,1,913
TreeMap,remove,reverse,1,1147
Treap,insert,partial,1,3537
Treap,search_hit,partial,1,1463
Treap,search_miss,partial,1,1861
Treap,remove,partial,1,1629
AVL,insert,partial,1,1668
AVL,search_hit,partial,1,979
AVL,search_miss,partial,1,1156
AVL,remove,partial,1,1213
TreeMap,insert,partial,1,1582
TreeMap,search_hit,partial,1,899
TreeMap,search_miss,partial,1,1098
TreeMap,remove,partial,1,1075
Treap,insert,random,10,44187
Treap,search_hit,random,10,17874
Treap,search_miss,random,10,13309
Treap,remove,random,10,22704
AVL,insert,random,10,30249
AVL,search_hit,random,10,7351
AVL,search_miss,random,10,7066
AVL,remove,random,10,17409
TreeMap,insert,random,10,15868
TreeMap,search_hit,random,10,7014
TreeMap,search_miss,random,10,7799
TreeMap,remove,random,10,19359
Treap,insert,sorted,10,50544
Treap,search_hit,sorted,10,11251
Treap,search_miss,sorted,10,9673
Treap,remove,sorted,10,14352
AVL,insert,sorted,10,26020
AVL,search_hit,sorted,10,9955
AVL,search_miss,sorted,10,16015
AVL,remove,sorted,10,11664
TreeMap,insert,sorted,10,17618
TreeMap,search_hit,sorted,10,5103
TreeMap,search_miss,sorted,10,6755
TreeMap,remove,sorted,10,13655
Treap,insert,reverse,10,28724
Treap,search_hit,reverse,10,19656
Treap,search_miss,reverse,10,54853
Treap,remove,reverse,10,11171
AVL,insert,reverse,10,19687
AVL,search_hit,reverse,10,6958
AVL,search_miss,reverse,10,7592
AVL,remove,reverse,10,8950
TreeMap,insert,reverse,10,20093
TreeMap,search_hit,reverse,10,4647
TreeMap,search_miss,reverse,10,5185
TreeMap,remove,reverse,10,16198
Treap,insert,partial,10,24641
Treap,search_hit,partial,10,4443
Treap,search_miss,partial,10,5322
Treap,remove,partial,10,9125
AVL,insert,partial,10,14858
AVL,search_hit,partial,10,10201
AVL,search_miss,partial,10,5135
AVL,remove,partial,10,8916
TreeMap,insert,partial,10,17997
TreeMap,search_hit,partial,10,5819
TreeMap,search_miss,partial,10,6380
TreeMap,remove,partial,10,14340
Treap,insert,random,100,202159
Treap,search_hit,random,100,56846
Treap,search_miss,random,100,54623
Treap,remove,random,100,108603
AVL,insert,random,100,149441
AVL,search_hit,random,100,44522
AVL,search_miss,random,100,40204
AVL,remove,random,100,177539
TreeMap,insert,random,100,193288
TreeMap,search_hit,random,100,133412
TreeMap,search_miss,random,100,45665
TreeMap,remove,random,100,72276
Treap,insert,sorted,100,32257
Treap,search_hit,sorted,100,23453
Treap,search_miss,sorted,100,18166
Treap,remove,sorted,100,34879
AVL,insert,sorted,100,70201
AVL,search_hit,sorted,100,37861
AVL,search_miss,sorted,100,46538
AVL,remove,sorted,100,80315
TreeMap,insert,sorted,100,82097
TreeMap,search_hit,sorted,100,31707
TreeMap,search_miss,sorted,100,52399
TreeMap,remove,sorted,100,40466
Treap,insert,reverse,100,44789
Treap,search_hit,reverse,100,59821
Treap,search_miss,reverse,100,18802
Treap,remove,reverse,100,21628
AVL,insert,reverse,100,42077
AVL,search_hit,reverse,100,20162
AVL,search_miss,reverse,100,31787
AVL,remove,reverse,100,28600
TreeMap,insert,reverse,100,58873
TreeMap,search_hit,reverse,100,37090
TreeMap,search_miss,reverse,100,32699
TreeMap,remove,reverse,100,48139
Treap,insert,partial,100,71872
Treap,search_hit,partial,100,26402
Treap,search_miss,partial,100,38680
Treap,remove,partial,100,48070
AVL,insert,partial,100,74145
AVL,search_hit,partial,100,32672
AVL,search_miss,partial,100,41499
AVL,remove,partial,100,50465
TreeMap,insert,partial,100,64792
TreeMap,search_hit,partial,100,32575
TreeMap,search_miss,partial,100,52330
TreeMap,remove,partial,100,69234
Treap,insert,random,250,300715
Treap,search_hit,random,250,109088
Treap,search_miss,random,250,138541
Treap,remove,random,250,237764
AVL,insert,random,250,119888
AVL,search_hit,random,250,89330
AVL,search_miss,random,250,107617
AVL,remove,random,250,170956
TreeMap,insert,random,250,136888
TreeMap,search_hit,random,250,120818
TreeMap,search_miss,random,250,107457
TreeMap,remove,random,250,107845
Treap,insert,sorted,250,92697
Treap,search_hit,sorted,250,91122
Treap,search_miss,sorted,250,54856
Treap,remove,sorted,250,89839
AVL,insert,sorted,250,101059
AVL,search_hit,sorted,250,76868
AVL,search_miss,sorted,250,70974
AVL,remove,sorted,250,99719
TreeMap,insert,sorted,250,67162
TreeMap,search_hit,sorted,250,70244
TreeMap,search_miss,sorted,250,44682
TreeMap,remove,sorted,250,46037
Treap,insert,reverse,250,77098
Treap,search_hit,reverse,250,97973
Treap,search_miss,reverse,250,50857
Treap,remove,reverse,250,86140
AVL,insert,reverse,250,122160
AVL,search_hit,reverse,250,95005
AVL,search_miss,reverse,250,97954
AVL,remove,reverse,250,113521
TreeMap,insert,reverse,250,65361
TreeMap,search_hit,reverse,250,48212
TreeMap,search_miss,reverse,250,45032
TreeMap,remove,reverse,250,68770
Treap,insert,partial,250,98480
Treap,search_hit,partial,250,68851
Treap,search_miss,partial,250,90266
Treap,remove,partial,250,114488
AVL,insert,partial,250,112213
AVL,search_hit,partial,250,92886
AVL,search_miss,partial,250,67427
AVL,remove,partial,250,105581
TreeMap,insert,partial,250,62932
TreeMap,search_hit,partial,250,57093
TreeMap,search_miss,partial,250,46241
TreeMap,remove,partial,250,83170
Treap,insert,random,500,230232
Treap,search_hit,random,500,235487
Treap,search_miss,random,500,136627
Treap,remove,random,500,311524
AVL,insert,random,500,152108
AVL,search_hit,random,500,80099
AVL,search_miss,random,500,82750
AVL,remove,random,500,222317
TreeMap,insert,random,500,110652
TreeMap,search_hit,random,500,110415
TreeMap,search_miss,random,500,83423
TreeMap,remove,random,500,218840
Treap,insert,sorted,500,172730
Treap,search_hit,sorted,500,164207
Treap,search_miss,sorted,500,121737
Treap,remove,sorted,500,160281
AVL,insert,sorted,500,150159
AVL,search_hit,sorted,500,115024
AVL,search_miss,sorted,500,86239
AVL,remove,sorted,500,87656
TreeMap,insert,sorted,500,72609
TreeMap,search_hit,sorted,500,67679
TreeMap,search_miss,sorted,500,58918
TreeMap,remove,sorted,500,84837
Treap,insert,reverse,500,88875
Treap,search_hit,reverse,500,75155
Treap,search_miss,reverse,500,95754
Treap,remove,reverse,500,107569
AVL,insert,reverse,500,101231
AVL,search_hit,reverse,500,48743
AVL,search_miss,reverse,500,30938
AVL,remove,reverse,500,74691
TreeMap,insert,reverse,500,74688
TreeMap,search_hit,reverse,500,47764
TreeMap,search_miss,reverse,500,49218
