structure,operation,input,size,time_ns
Sorting,TreapSort,random,100,18786160
Sorting,PQSort,random,100,242500
Sorting,QuickSort,random,100,3340020
Sorting,MergeSort,random,100,3714460
Sorting,JavaSort,random,100,135480
Sorting,TreapSort,sorted,100,195860
Sorting,PQSort,sorted,100,86520
Sorting,QuickSort,sorted,100,327420
Sorting,MergeSort,sorted,100,129080
Sorting,JavaSort,sorted,100,18640
Sorting,TreapSort,reverse,100,94320
Sorting,PQSort,reverse,100,58500
Sorting,QuickSort,reverse,100,191880
Sorting,MergeSort,reverse,100,87800
Sorting,JavaSort,reverse,100,17480
Sorting,TreapSort,partial,100,95460
Sorting,PQSort,partial,100,52520
Sorting,QuickSort,partial,100,53460
Sorting,MergeSort,partial,100,90380
Sorting,JavaSort,partial,100,78880
Sorting,TreapSort,random,250,215820
Sorting,PQSort,random,250,138320
Sorting,QuickSort,random,250,90320
Sorting,MergeSort,random,250,246980
Sorting,JavaSort,random,250,171980
Sorting,TreapSort,sorted,250,137920
Sorting,PQSort,sorted,250,77620
Sorting,QuickSort,sorted,250,2367460
Sorting,MergeSort,sorted,250,204760
Sorting,JavaSort,sorted,250,18240
Sorting,TreapSort,reverse,250,104580
Sorting,PQSort,reverse,250,62620
Sorting,QuickSort,reverse,250,1995140
Sorting,MergeSort,reverse,250,102620
Sorting,JavaSort,reverse,250,25640
Sorting,TreapSort,partial,250,125060
Sorting,PQSort,partial,250,59460
Sorting,QuickSort,partial,250,404400
Sorting,MergeSort,partial,250,105880
Sorting,JavaSort,partial,250,177060
Sorting,TreapSort,random,500,289940
Sorting,PQSort,random,500,137740
Sorting,QuickSort,random,500,433740
Sorting,MergeSort,random,500,259700
Sorting,JavaSort,random,500,423680
Sorting,TreapSort,sorted,500,143260
Sorting,PQSort,sorted,500,84340
Sorting,QuickSort,sorted,500,9357080
Sorting,MergeSort,sorted,500,459640
Sorting,JavaSort,sorted,500,16440
Sorting,TreapSort,reverse,500,117700
Sorting,PQSort,reverse,500,138220
Sorting,QuickSort,reverse,500,6483180
Sorting,MergeSort,reverse,500,520400
Sorting,JavaSort,reverse,500,55640
Sorting,TreapSort,partial,500,152120
Sorting,PQSort,partial,500,82340
Sorting,QuickSort,partial,500,60600
Sorting,MergeSort,partial,500,255140
Sorting,JavaSort,partial,500,289620
Sorting,TreapSort,random,750,497260
Sorting,PQSort,random,750,201300
Sorting,QuickSort,random,750,115300
Sorting,MergeSort,random,750,368080
Sorting,JavaSort,random,750,549900
Sorting,TreapSort,sorted,750,168460
Sorting,PQSort,sorted,750,197040
Sorting,QuickSort,sorted,750,2401620
Sorting,MergeSort,sorted,750,575100
Sorting,JavaSort,sorted,750,20440
